time_min,NO3- (uM),NO2- (uM),O3 (nM),H2O2 (uM),OH (pM),HO2 (pM),O2- (pM),ONOOH (pM),ONOO- (pM),O2NOOH (pM),O2NOO- (pM),O3- (pM),HO3 (pM),O (pM)
0.0000,1.000000e-24,9.997489e-25,1.000000e-21,9.999776e-25,1.000000e-18,6.270012e-21,9.937300e-19,2.847472e-19,7.152528e-19,7.358756e-20,9.264124e-19,1.000000e-18,1.000000e-18,1.000000e-18
0.0333,3.156466e-03,1.504383e-05,1.400577e-01,5.622779e-04,3.112670e+00,3.035398e-02,4.756964e+00,1.933211e+00,4.801682e+00,8.869336e-01,1.104092e+01,6.540477e-03,2.760401e-04,1.075159e-06
0.0667,1.276140e-02,3.459855e-05,2.855203e-01,2.200035e-03,3.696330e+00,4.119658e-02,6.246405e+00,4.245278e+00,1.020176e+01,2.234201e+00,2.690861e+01,8.316680e-03,7.118050e-04,1.015168e-06
0.1000,2.931672e-02,5.524143e-05,4.303134e-01,4.995093e-03,4.132036e+00,5.223132e-02,7.503501e+00,6.574976e+00,1.497018e+01,3.877609e+00,4.424834e+01,8.795037e-03,1.294045e-03,9.282476e-07
0.1333,5.308340e-02,7.814157e-05,5.584946e-01,8.990276e-03,4.440962e+00,6.423531e-02,8.585654e+00,9.147352e+00,1.937737e+01,6.090246e+00,6.465980e+01,8.545717e-03,1.906844e-03,8.456599e-07
0.1667,8.362247e-02,1.041918e-04,6.712256e-01,1.406728e-02,4.649379e+00,7.767738e-02,9.531157e+00,1.204545e+01,2.342470e+01,9.084197e+00,8.853960e+01,8.125144e-03,2.526457e-03,7.751436e-07
0.2000,1.205107e-01,1.339348e-04,7.732854e-01,2.012193e-02,4.786289e+00,9.289168e-02,1.036912e+01,1.528886e+01,2.704832e+01,1.308254e+01,1.159998e+02,7.692637e-03,3.147735e-03,7.163330e-07
0.2333,1.633401e-01,1.676774e-04,8.675329e-01,2.706199e-02,4.873694e+00,1.101297e-01,1.112286e+01,1.886285e+01,3.019390e+01,1.831710e+01,1.469497e+02,7.287624e-03,3.767112e-03,6.668111e-07
0.2667,2.117192e-01,2.055723e-04,9.555243e-01,3.480495e-02,4.926855e+00,1.295849e-01,1.181073e+01,2.273517e+01,3.284131e+01,2.502586e+01,1.811804e+02,6.917747e-03,4.381679e-03,6.243800e-07
0.3000,2.652712e-01,2.476728e-04,1.038066e+00,4.327599e-02,4.956224e+00,1.514112e-01,1.244723e+01,2.686451e+01,3.500205e+01,3.344753e+01,2.184131e+02,6.581776e-03,4.988891e-03,5.873923e-07
0.3333,3.236358e-01,2.939702e-04,1.115556e+00,5.240673e-02,4.969000e+00,1.757376e-01,1.304391e+01,3.120545e+01,3.670908e+01,4.381583e+01,2.583295e+02,6.276260e-03,5.586614e-03,5.546525e-07
0.3667,3.864684e-01,3.444185e-04,1.188168e+00,6.213397e-02,4.970180e+00,2.026767e-01,1.361001e+01,3.571188e+01,3.800733e+01,5.635362e+01,3.005914e+02,5.997437e-03,6.172970e-03,5.252966e-07
0.4000,4.534403e-01,3.989499e-04,1.255963e+00,7.239890e-02,4.963254e+00,2.323303e-01,1.415293e+01,4.033929e+01,3.894653e+01,7.126813e+01,3.448544e+02,5.741833e-03,6.746271e-03,4.986911e-07
0.4333,5.242388e-01,4.574858e-04,1.318964e+00,8.314653e-02,4.950592e+00,2.647918e-01,1.467848e+01,4.504649e+01,3.957650e+01,8.874696e+01,3.907779e+02,5.506382e-03,7.304974e-03,4.743624e-07
0.4667,5.982808e-01,5.238403e-04,1.437875e+00,9.442533e-02,4.698118e+00,2.856772e-01,1.446474e+01,5.081956e+01,4.078176e+01,1.099363e+02,4.421568e+02,5.254134e-03,7.777946e-03,4.559543e-07
0.5000,6.749922e-01,5.993763e-04,1.594722e+00,1.063073e-01,4.451126e+00,3.040390e-01,1.412052e+01,5.752450e+01,4.234229e+01,1.356333e+02,5.003660e+02,5.046335e-03,8.247920e-03,4.419752e-07
0.5333,7.541097e-01,6.839192e-04,1.773247e+00,1.187609e-01,4.218488e+00,3.213528e-01,1.374514e+01,6.452515e+01,4.374175e+01,1.654635e+02,5.621720e+02,4.853981e-03,8.687052e-03,4.307073e-07
0.5667,8.353844e-01,7.772094e-04,1.971983e+00,1.317568e-01,3.998369e+00,3.376293e-01,1.335131e+01,7.163112e+01,4.489372e+01,1.991598e+02,6.255840e+02,4.672211e-03,9.092409e-03,4.216258e-07
0.6000,9.185365e-01,8.787549e-04,2.188001e+00,1.452468e-01,3.789279e+00,3.528357e-01,1.294678e+01,7.870507e+01,4.577118e+01,2.364393e+02,6.891426e+02,4.490586e-03,9.443602e-03,4.143170e-07
0.6333,1.003293e+00,9.879260e-04,2.426358e+00,1.591996e-01,3.591609e+00,3.668911e-01,1.253547e+01,8.563581e+01,4.637231e+01,2.769451e+02,7.516178e+02,4.323085e-03,9.770835e-03,4.087619e-07
0.6667,1.089332e+00,1.103998e-03,2.688644e+00,1.736100e-01,3.405269e+00,3.797309e-01,1.212141e+01,9.233494e+01,4.671359e+01,3.202496e+02,8.120181e+02,4.168395e-03,1.007042e-02,4.048283e-07
0.7000,1.176493e+00,1.226173e-03,2.975892e+00,1.884638e-01,3.229373e+00,3.913480e-01,1.170758e+01,9.871098e+01,4.680254e+01,3.658772e+02,8.694394e+02,4.020717e-03,1.034049e-02,4.023896e-07
0.7333,1.264916e+00,1.353477e-03,3.289343e+00,2.037436e-01,3.063362e+00,4.018497e-01,1.129690e+01,1.046747e+02,4.663771e+01,4.134125e+02,9.231645e+02,3.875278e-03,1.058062e-02,4.013546e-07
0.7667,1.354606e+00,1.484871e-03,3.629137e+00,2.194277e-01,2.907396e+00,4.113653e-01,1.089333e+01,1.101495e+02,4.622909e+01,4.624117e+02,9.726617e+02,3.732328e-03,1.078911e-02,4.016156e-07
0.8000,1.445329e+00,1.619395e-03,3.994316e+00,2.354893e-01,2.761567e+00,4.199767e-01,1.050039e+01,1.150761e+02,4.560005e+01,5.123176e+02,1.017465e+03,3.593334e-03,1.096394e-02,4.030440e-07
0.8333,1.536776e+00,1.756179e-03,4.383439e+00,2.518979e-01,2.625580e+00,4.277246e-01,1.012011e+01,1.194092e+02,4.477738e+01,5.624938e+02,1.057155e+03,3.458842e-03,1.110322e-02,4.055141e-07
0.8667,1.628956e+00,1.894348e-03,4.795797e+00,2.686218e-01,2.498543e+00,4.346909e-01,9.753003e+00,1.231124e+02,4.377836e+01,6.123789e+02,1.091385e+03,3.325469e-03,1.120858e-02,4.089415e-07
0.9000,1.721900e+00,2.032956e-03,5.230520e+00,2.856306e-01,2.380263e+00,4.409920e-01,9.400086e+00,1.261666e+02,4.262316e+01,6.615217e+02,1.120070e+03,3.194669e-03,1.128271e-02,4.132548e-07
0.9333,1.815519e+00,2.171183e-03,5.686108e+00,3.028958e-01,2.270337e+00,4.467158e-01,9.062211e+00,1.285796e+02,4.134042e+01,7.094605e+02,1.143223e+03,3.066616e-03,1.132828e-02,4.183707e-07
0.9667,1.909752e+00,2.308268e-03,6.161129e+00,3.203925e-01,2.168462e+00,4.519561e-01,8.739981e+00,1.303719e+02,3.995749e+01,7.558140e+02,1.160992e+03,2.942671e-03,1.134906e-02,4.242156e-07
1.0000,2.004506e+00,2.443556e-03,6.653739e+00,3.380988e-01,2.074203e+00,4.567962e-01,8.433770e+00,1.315817e+02,3.850301e+01,8.002469e+02,1.173609e+03,2.823095e-03,1.134858e-02,4.307100e-07
1.0333,2.099751e+00,2.576454e-03,7.161914e+00,3.559960e-01,1.987144e+00,4.613297e-01,8.143771e+00,1.322559e+02,3.700235e+01,8.425341e+02,1.181413e+03,2.708348e-03,1.133049e-02,4.377752e-07
1.0667,2.195347e+00,2.706466e-03,7.683416e+00,3.740692e-01,1.906960e+00,4.656332e-01,7.870195e+00,1.324552e+02,3.548221e+01,8.824992e+02,1.184830e+03,2.599539e-03,1.129869e-02,4.453292e-07
1.1000,2.291370e+00,2.833178e-03,8.215466e+00,3.923049e-01,1.833031e+00,4.698096e-01,7.612867e+00,1.322398e+02,3.396162e+01,9.200976e+02,1.184296e+03,2.495054e-03,1.125572e-02,4.532804e-07
1.1333,2.387849e+00,2.956207e-03,8.754825e+00,4.106895e-01,1.765012e+00,4.739576e-01,7.371706e+00,1.316713e+02,3.245785e+01,9.554069e+02,1.180367e+03,2.395731e-03,1.120351e-02,4.615325e-07
1.1667,2.484706e+00,3.075359e-03,9.298197e+00,4.292105e-01,1.702462e+00,4.781557e-01,7.146600e+00,1.308165e+02,3.098793e+01,9.884911e+02,1.173553e+03,2.301326e-03,1.114433e-02,4.699877e-07
1.2000,2.582013e+00,3.190494e-03,9.842653e+00,4.478566e-01,1.644919e+00,4.824892e-01,6.937110e+00,1.297321e+02,2.956231e+01,1.019522e+03,1.164361e+03,2.211533e-03,1.107997e-02,4.785616e-07
1.2333,2.679744e+00,3.301571e-03,1.038595e+01,4.666189e-01,1.592023e+00,4.870247e-01,6.742814e+00,1.284742e+02,2.819071e+01,1.048678e+03,1.153274e+03,2.126668e-03,1.101308e-02,4.871864e-07
1.2667,2.777834e+00,3.408622e-03,1.092599e+01,4.854914e-01,1.543433e+00,4.918132e-01,6.563188e+00,1.270937e+02,2.688058e+01,1.076137e+03,1.140729e+03,2.046859e-03,1.094536e-02,4.957980e-07
1.3000,2.876333e+00,3.511756e-03,1.146047e+01,5.044685e-01,1.498723e+00,4.969084e-01,6.397523e+00,1.256298e+02,2.563470e+01,1.102106e+03,1.127090e+03,1.971326e-03,1.087760e-02,5.043307e-07
1.3333,2.975330e+00,3.598021e-03,1.192484e+01,5.235281e-01,1.472932e+00,5.065662e-01,6.297657e+00,1.248974e+02,2.460912e+01,1.128702e+03,1.114607e+03,1.923095e-03,1.094661e-02,5.112975e-07
1.3667,3.074901e+00,3.670690e-03,1.228681e+01,5.426381e-01,1.455260e+00,5.192246e-01,6.238586e+00,1.249680e+02,2.379742e+01,1.158905e+03,1.106060e+03,1.877402e-03,1.101524e-02,5.158022e-07
1.4000,3.175106e+00,3.738977e-03,1.259337e+01,5.617943e-01,1.440256e+00,5.336921e-01,6.202407e+00,1.251738e+02,2.305595e+01,1.192222e+03,1.100592e+03,1.832076e-03,1.107274e-02,5.188705e-07
1.4333,3.275751e+00,3.805685e-03,1.286491e+01,5.809962e-01,1.427011e+00,5.496248e-01,6.183436e+00,1.254017e+02,2.235975e+01,1.227862e+03,1.097269e+03,1.788786e-03,1.112488e-02,5.209934e-07
1.4667,3.376830e+00,3.871964e-03,1.311068e+01,6.002430e-01,1.415075e+00,5.668417e-01,6.178131e+00,1.256374e+02,2.170273e+01,1.265210e+03,1.095363e+03,1.747220e-03,1.117474e-02,5.224108e-07
1.5000,3.478451e+00,3.938290e-03,1.333576e+01,6.195333e-01,1.404186e+00,5.852223e-01,6.183815e+00,1.258783e+02,2.108076e+01,1.303902e+03,1.094411e+03,1.707391e-03,1.122348e-02,5.232637e-07
1.5333,3.580429e+00,4.004934e-03,1.354268e+01,6.388652e-01,1.394243e+00,6.046496e-01,6.198610e+00,1.261281e+02,2.049285e+01,1.343618e+03,1.094124e+03,1.669794e-03,1.127127e-02,5.236306e-07
1.5667,3.682720e+00,4.072076e-03,1.373321e+01,6.582362e-01,1.385065e+00,6.250408e-01,6.220974e+00,1.263874e+02,1.993672e+01,1.384120e+03,1.094268e+03,1.633969e-03,1.131822e-02,5.235677e-07
1.6000,3.785273e+00,4.139808e-03,1.390849e+01,6.776431e-01,1.376533e+00,6.463222e-01,6.249624e+00,1.266546e+02,1.941001e+01,1.425256e+03,1.094706e+03,1.599995e-03,1.136387e-02,5.231165e-07
1.6333,3.888082e+00,4.208209e-03,1.406981e+01,6.970827e-01,1.368518e+00,6.684485e-01,6.283621e+00,1.269296e+02,1.891059e+01,1.466903e+03,1.095326e+03,1.567446e-03,1.140871e-02,5.223173e-07
1.6667,3.991096e+00,4.277282e-03,1.421840e+01,7.165527e-01,1.360975e+00,6.913766e-01,6.322200e+00,1.272130e+02,1.843678e+01,1.508999e+03,1.096080e+03,1.536608e-03,1.145280e-02,5.212079e-07
1.7000,4.094273e+00,4.347061e-03,1.435496e+01,7.360506e-01,1.353829e+00,7.150832e-01,6.364846e+00,1.275061e+02,1.798715e+01,1.551464e+03,1.096915e+03,1.507090e-03,1.149618e-02,5.198130e-07
1.7333,4.197763e+00,4.417515e-03,1.448084e+01,7.555746e-01,1.347003e+00,7.395733e-01,6.411066e+00,1.278073e+02,1.755919e+01,1.594319e+03,1.097803e+03,1.478690e-03,1.153982e-02,5.181686e-07
1.7667,4.301643e+00,4.488623e-03,1.459634e+01,7.751223e-01,1.340457e+00,7.648586e-01,6.460571e+00,1.281169e+02,1.715126e+01,1.637594e+03,1.098743e+03,1.451164e-03,1.158318e-02,5.162906e-07
1.8000,4.405862e+00,4.560409e-03,1.470154e+01,7.946899e-01,1.334189e+00,7.909397e-01,6.513169e+00,1.284339e+02,1.676211e+01,1.681296e+03,1.099748e+03,1.424704e-03,1.162571e-02,5.141901e-07
1.8333,4.510394e+00,4.632913e-03,1.479729e+01,8.142750e-01,1.328173e+00,8.178307e-01,6.568766e+00,1.287597e+02,1.639081e+01,1.725408e+03,1.100810e+03,1.399241e-03,1.166805e-02,5.118887e-07
1.8667,4.615444e+00,4.706102e-03,1.488465e+01,8.338763e-01,1.322352e+00,8.455768e-01,6.627216e+00,1.290936e+02,1.603551e+01,1.769987e+03,1.101915e+03,1.374421e-03,1.171082e-02,5.094125e-07
1.9000,4.721146e+00,4.779939e-03,1.496416e+01,8.534922e-01,1.316724e+00,8.742244e-01,6.688478e+00,1.294360e+02,1.569493e+01,1.815117e+03,1.103085e+03,1.350187e-03,1.175426e-02,5.067779e-07
1.9333,4.827353e+00,4.854435e-03,1.503592e+01,8.731211e-01,1.311343e+00,9.037903e-01,6.752635e+00,1.297894e+02,1.536898e+01,1.860808e+03,1.104351e+03,1.326968e-03,1.179798e-02,5.039918e-07
1.9667,4.933933e+00,4.929652e-03,1.509999e+01,8.927610e-01,1.306206e+00,9.342930e-01,6.819765e+00,1.301552e+02,1.505733e+01,1.907021e+03,1.105711e+03,1.304696e-03,1.184181e-02,5.010588e-07
2.0000,5.040855e+00,5.005634e-03,1.515679e+01,9.124108e-01,1.301282e+00,9.657522e-01,6.889827e+00,1.305324e+02,1.475914e+01,1.953734e+03,1.107154e+03,1.283335e-03,1.188574e-02,4.979904e-07
2.0333,5.148108e+00,5.082414e-03,1.520675e+01,9.320693e-01,1.296542e+00,9.981941e-01,6.962805e+00,1.309209e+02,1.447365e+01,2.000933e+03,1.108668e+03,1.262790e-03,1.192987e-02,4.947975e-07
2.0667,5.255734e+00,5.159997e-03,1.525056e+01,9.517359e-01,1.291964e+00,1.031652e+00,7.038665e+00,1.313204e+02,1.420003e+01,2.048628e+03,1.110248e+03,1.242982e-03,1.197465e-02,4.914954e-07
2.1000,5.363874e+00,5.238376e-03,1.528856e+01,9.714099e-01,1.287511e+00,1.066183e+00,7.117406e+00,1.317305e+02,1.393723e+01,2.096864e+03,1.111887e+03,1.223642e-03,1.202006e-02,4.880939e-07
2.1333,5.472551e+00,5.317547e-03,1.532111e+01,9.910904e-01,1.283198e+00,1.101824e+00,7.199048e+00,1.321507e+02,1.368461e+01,2.145692e+03,1.113602e+03,1.204907e-03,1.206616e-02,4.846029e-07
2.1667,5.581726e+00,5.397525e-03,1.534856e+01,1.010777e+00,1.279034e+00,1.138624e+00,7.283730e+00,1.325833e+02,1.344195e+01,2.195118e+03,1.115401e+03,1.186819e-03,1.211322e-02,4.810305e-07
2.2000,5.691445e+00,5.478318e-03,1.537102e+01,1.030469e+00,1.275007e+00,1.176635e+00,7.371504e+00,1.330276e+02,1.320859e+01,2.245176e+03,1.117287e+03,1.169295e-03,1.216099e-02,4.773818e-07
2.2333,5.801597e+00,5.559967e-03,1.538856e+01,1.050167e+00,1.271131e+00,1.215888e+00,7.462482e+00,1.334840e+02,1.298432e+01,2.295858e+03,1.119270e+03,1.152448e-03,1.220931e-02,4.736604e-07
2.2667,5.912133e+00,5.642542e-03,1.540076e+01,1.069867e+00,1.267376e+00,1.256423e+00,7.556739e+00,1.339513e+02,1.276867e+01,2.347143e+03,1.121342e+03,1.136141e-03,1.225740e-02,4.698631e-07
2.3000,6.023133e+00,5.726118e-03,1.540785e+01,1.089568e+00,1.263695e+00,1.298295e+00,7.654287e+00,1.344260e+02,1.256072e+01,2.399037e+03,1.123488e+03,1.120247e-03,1.230530e-02,4.659965e-07
2.3333,6.134604e+00,5.810699e-03,1.541068e+01,1.109269e+00,1.260093e+00,1.341553e+00,7.755187e+00,1.349092e+02,1.236021e+01,2.451555e+03,1.125709e+03,1.104842e-03,1.235361e-02,4.620766e-07
2.3667,6.246515e+00,5.896287e-03,1.540942e+01,1.128969e+00,1.256578e+00,1.386253e+00,7.859564e+00,1.354026e+02,1.216699e+01,2.504699e+03,1.128006e+03,1.089920e-03,1.240228e-02,4.581088e-07
2.4000,6.358783e+00,5.982903e-03,1.540435e+01,1.148669e+00,1.253159e+00,1.432434e+00,7.967506e+00,1.359068e+02,1.198088e+01,2.558461e+03,1.130385e+03,1.075572e-03,1.245136e-02,4.541000e-07
2.4333,6.471271e+00,6.070574e-03,1.539552e+01,1.168368e+00,1.249845e+00,1.480136e+00,8.079156e+00,1.364229e+02,1.180189e+01,2.612801e+03,1.132846e+03,1.061857e-03,1.250069e-02,4.500529e-07
2.4667,6.583935e+00,6.159365e-03,1.538258e+01,1.188063e+00,1.246605e+00,1.529402e+00,8.194575e+00,1.369489e+02,1.162956e+01,2.667689e+03,1.135377e+03,1.048649e-03,1.254957e-02,4.459646e-07
2.5000,6.696701e+00,6.249345e-03,1.536569e+01,1.207754e+00,1.243419e+00,1.580266e+00,8.313801e+00,1.374828e+02,1.146351e+01,2.723091e+03,1.137972e+03,1.035954e-03,1.259795e-02,4.418404e-07
2.5333,6.809564e+00,6.340537e-03,1.534535e+01,1.227440e+00,1.240270e+00,1.632786e+00,8.436916e+00,1.380250e+02,1.130348e+01,2.778981e+03,1.140618e+03,1.023694e-03,1.264618e-02,4.376898e-07
2.5667,6.922660e+00,6.432946e-03,1.532180e+01,1.247119e+00,1.237130e+00,1.687037e+00,8.563938e+00,1.385742e+02,1.114888e+01,2.835385e+03,1.143302e+03,1.011686e-03,1.269425e-02,4.335192e-07
2.6000,7.035817e+00,6.526587e-03,1.529507e+01,1.266790e+00,1.234032e+00,1.743045e+00,8.694966e+00,1.391308e+02,1.099974e+01,2.892296e+03,1.146046e+03,1.000173e-03,1.274180e-02,4.293314e-07
2.6333,7.148929e+00,6.621502e-03,1.526538e+01,1.286453e+00,1.230973e+00,1.800870e+00,8.830178e+00,1.396963e+02,1.085606e+01,2.949660e+03,1.148839e+03,9.891629e-04,1.278918e-02,4.251316e-07
2.6667,7.262042e+00,6.717680e-03,1.523314e+01,1.306106e+00,1.227941e+00,1.860575e+00,8.969623e+00,1.402701e+02,1.071746e+01,3.007483e+03,1.151676e+03,9.784979e-04,1.283648e-02,4.209274e-07
2.7000,7.375225e+00,6.815136e-03,1.519844e+01,1.325750e+00,1.224917e+00,1.922245e+00,9.113403e+00,1.408516e+02,1.058360e+01,3.065776e+03,1.154549e+03,9.681413e-04,1.288377e-02,4.167222e-07
2.7333,7.488637e+00,6.913863e-03,1.516139e+01,1.345382e+00,1.221887e+00,1.985976e+00,9.261570e+00,1.414387e+02,1.045391e+01,3.124598e+03,1.157457e+03,9.579793e-04,1.293096e-02,4.125200e-07
2.7667,7.602285e+00,7.013884e-03,1.512197e+01,1.365001e+00,1.218856e+00,2.051853e+00,9.414268e+00,1.420312e+02,1.032819e+01,3.183988e+03,1.160411e+03,9.480368e-04,1.297786e-02,4.083223e-07
2.8000,7.716151e+00,7.115194e-03,1.508062e+01,1.384607e+00,1.215847e+00,2.119967e+00,9.571693e+00,1.426303e+02,1.020638e+01,3.243968e+03,1.163419e+03,9.383111e-04,1.302493e-02,4.041367e-07
2.8333,7.830261e+00,7.217776e-03,1.503759e+01,1.404199e+00,1.212866e+00,2.190426e+00,9.734050e+00,1.432375e+02,1.008838e+01,3.304562e+03,1.166484e+03,9.288007e-04,1.307239e-02,3.999681e-07
2.8667,7.944730e+00,7.321640e-03,1.499268e+01,1.423776e+00,1.209900e+00,2.263355e+00,9.901506e+00,1.438512e+02,9.973833e+00,3.365821e+03,1.169606e+03,9.193558e-04,1.311990e-02,3.958153e-07
2.9000,8.059561e+00,7.426814e-03,1.494589e+01,1.443336e+00,1.206956e+00,2.338862e+00,1.007426e+01,1.444706e+02,9.862521e+00,3.427783e+03,1.172794e+03,9.101613e-04,1.316731e-02,3.916793e-07
2.9333,8.174579e+00,7.533317e-03,1.489740e+01,1.462879e+00,1.204065e+00,2.417033e+00,1.025259e+01,1.450975e+02,9.754637e+00,3.490435e+03,1.176063e+03,9.012985e-04,1.321470e-02,3.875639e-07
2.9667,8.289683e+00,7.641995e-03,1.484909e+01,1.482405e+00,1.200883e+00,2.497639e+00,1.043538e+01,1.456786e+02,9.646607e+00,3.553533e+03,1.179340e+03,8.923676e-04,1.325651e-02,3.834943e-07
3.0000,8.404973e+00,7.750518e-03,1.479791e+01,1.501913e+00,1.198453e+00,2.581723e+00,1.062661e+01,1.463608e+02,9.547943e+00,3.617351e+03,1.182703e+03,8.844969e-04,1.331232e-02,3.794329e-07
3.0333,8.520650e+00,7.856424e-03,1.473457e+01,1.521398e+00,1.197503e+00,2.670477e+00,1.083048e+01,1.473292e+02,9.469947e+00,3.683337e+03,1.186589e+03,8.778779e-04,1.338810e-02,3.752524e-07
3.0667,8.636699e+00,7.964961e-03,1.466523e+01,1.540856e+00,1.195829e+00,2.762392e+00,1.104039e+01,1.482460e+02,9.390360e+00,3.751496e+03,1.190978e+03,8.701814e-04,1.344384e-02,3.710284e-07
3.1000,8.753045e+00,8.079333e-03,1.460375e+01,1.560296e+00,1.192781e+00,2.856680e+00,1.125304e+01,1.488662e+02,9.294037e+00,3.819950e+03,1.195270e+03,8.615032e-04,1.348121e-02,3.669498e-07
3.1333,8.869700e+00,8.195603e-03,1.454763e+01,1.579719e+00,1.189941e+00,2.954577e+00,1.147307e+01,1.494644e+02,9.198601e+00,3.888334e+03,1.199355e+03,8.536264e-04,1.352896e-02,3.629923e-07
3.1667,8.986637e+00,8.313262e-03,1.449216e+01,1.599125e+00,1.187039e+00,3.055968e+00,1.169971e+01,1.500956e+02,9.107393e+00,3.957133e+03,1.203391e+03,8.458032e-04,1.357444e-02,3.590934e-07
3.2000,9.103912e+00,8.429662e-03,1.443208e+01,1.618510e+00,1.185338e+00,3.162296e+00,1.193804e+01,1.509049e+02,9.028883e+00,4.026982e+03,1.207565e+03,8.392854e-04,1.364060e-02,3.551855e-07
3.2333,9.221533e+00,8.546534e-03,1.436499e+01,1.637872e+00,1.183761e+00,3.273047e+00,1.218564e+01,1.518064e+02,8.957485e+00,4.098697e+03,1.212109e+03,8.323842e-04,1.370161e-02,3.512325e-07
3.2667,9.339401e+00,8.661872e-03,1.428895e+01,1.657206e+00,1.183614e+00,3.389894e+00,1.244832e+01,1.529089e+02,8.899330e+00,4.172726e+03,1.217151e+03,8.271963e-04,1.378548e-02,3.472106e-07
